"GEO_ID","NAME","B05002_001E","B05002_001M","B05002_002E","B05002_002M","B05002_003E","B05002_003M","B05002_004E","B05002_004M","B05002_005E","B05002_005M","B05002_006E","B05002_006M","B05002_007E","B05002_007M","B05002_008E","B05002_008M","B05002_009E","B05002_009M","B05002_010E","B05002_010M","B05002_011E","B05002_011M","B05002_012E","B05002_012M","B05002_013E","B05002_013M","B05002_014E","B05002_014M","B05002_015E","B05002_015M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Native","Margin of Error!!Total!!Native","Estimate!!Total!!Native!!Born in state of residence","Margin of Error!!Total!!Native!!Born in state of residence","Estimate!!Total!!Native!!Born in other state in the United States","Margin of Error!!Total!!Native!!Born in other state in the United States","Estimate!!Total!!Native!!Born in other state in the United States!!Northeast","Margin of Error!!Total!!Native!!Born in other state in the United States!!Northeast","Estimate!!Total!!Native!!Born in other state in the United States!!Midwest","Margin of Error!!Total!!Native!!Born in other state in the United States!!Midwest","Estimate!!Total!!Native!!Born in other state in the United States!!South","Margin of Error!!Total!!Native!!Born in other state in the United States!!South","Estimate!!Total!!Native!!Born in other state in the United States!!West","Margin of Error!!Total!!Native!!Born in other state in the United States!!West","Estimate!!Total!!Native!!Born outside the United States","Margin of Error!!Total!!Native!!Born outside the United States","Estimate!!Total!!Native!!Born outside the United States!!Puerto Rico","Margin of Error!!Total!!Native!!Born outside the United States!!Puerto Rico","Estimate!!Total!!Native!!Born outside the United States!!U.S. Island Areas","Margin of Error!!Total!!Native!!Born outside the United States!!U.S. Island Areas","Estimate!!Total!!Native!!Born outside the United States!!Born abroad of American parent(s)","Margin of Error!!Total!!Native!!Born outside the United States!!Born abroad of American parent(s)","Estimate!!Total!!Foreign born","Margin of Error!!Total!!Foreign born","Estimate!!Total!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Foreign born!!Not a U.S. citizen",
"0500000US01001","Autauga County, Alabama","55136","*****","54364","231","37521","919","15944","937","1568","392","3538","486","9006","722","1832","366","899","241","11","18","62","70","826","230","772","231","312","114","460","198",
"0500000US01003","Baldwin County, Alabama","191205","*****","184394","993","103797","2565","79176","2471","9084","834","17426","1355","45935","2152","6731","869","1421","309","174","105","14","25","1233","303","6811","993","2473","458","4338","924",
"0500000US01005","Barbour County, Alabama","27119","*****","26350","133","18631","482","7587","494","774","166","1270","267","4982","465","561","192","132","75","0","21","6","11","126","74","769","133","103","50","666","122",
"0500000US01007","Bibb County, Alabama","22653","*****","22354","81","19411","371","2894","360","335","137","831","265","1342","279","386","141","49","35","8","12","0","21","41","31","299","81","48","42","251","69",
"0500000US01009","Blount County, Alabama","57645","*****","55263","305","46085","793","8800","736","930","316","1609","283","5385","548","876","209","378","176","145","137","0","27","233","100","2382","305","583","151","1799","322",
"0500000US01011","Bullock County, Alabama","10693","*****","10190","445","9023","395","1144","275","92","62","309","218","666","189","77","85","23","34","0","18","0","18","23","34","503","445","134","114","369","348",
"0500000US01013","Butler County, Alabama","20523","*****","20362","102","17426","338","2879","330","387","111","471","125","1821","260","200","101","57","46","3","5","0","21","54","46","161","102","134","100","27","31",
"0500000US01015","Calhoun County, Alabama","117186","*****","114413","343","85766","1325","27260","1278","2620","389","5337","509","16490","1068","2813","390","1387","324","185","118","0","27","1202","295","2773","343","798","146","1975","316",
"0500000US01017","Chambers County, Alabama","34091","*****","33745","92","26005","523","7680","513","444","147","481","136","6379","502","376","135","60","39","0","24","0","24","60","39","346","92","84","46","262","105",
"0500000US01019","Cherokee County, Alabama","26042","*****","25741","152","14252","700","11423","705","360","119","1062","214","9655","595","346","154","66","42","13","23","0","21","53","32","301","152","223","139","78","54",
"0500000US01021","Chilton County, Alabama","43781","*****","41432","250","34037","567","7145","588","611","226","1347","297","4749","545","438","150","250","126","32","41","0","24","218","116","2349","250","386","189","1963","271",
"0500000US01023","Choctaw County, Alabama","13546","*****","13516","26","7277","318","6163","312","138","72","379","108","5494","305","152","62","76","55","0","18","0","18","76","55","30","26","22","22","8","12",
"0500000US01025","Clarke County, Alabama","25331","*****","25191","85","21610","449","3520","440","293","125","717","265","2239","366","271","117","61","46","12","19","5","9","44","40","140","85","66","61","74","58",
"0500000US01027","Clay County, Alabama","13617","*****","13329","48","10631","330","2685","337","191","99","539","207","1703","252","252","146","13","15","0","18","7","12","6","9","288","48","0","18","288","48",
"0500000US01029","Cleburne County, Alabama","14990","*****","14843","116","8696","524","6125","519","211","107","358","102","5392","506","164","64","22","26","0","18","0","18","22","26","147","116","27","24","120","106",
"0500000US01031","Coffee County, Alabama","50726","*****","48422","338","30207","910","17196","846","2594","543","3340","489","8555","590","2707","470","1019","184","293","113","0","27","726","158","2304","338","806","172","1498","289",
"0500000US01033","Colbert County, Alabama","54491","*****","53494","318","42223","784","11025","767","800","193","3127","474","6398","564","700","242","246","153","68","96","6","9","172","99","997","318","274","100","723","340",
"0500000US01035","Conecuh County, Alabama","12985","*****","12867","53","10981","336","1881","319","316","212","307","94","1132","197","126","65","5","9","0","18","0","18","5","9","118","53","38","31","80","48",
"0500000US01037","Coosa County, Alabama","11247","*****","11060","73","9553","246","1420","237","152","59","256","127","820","197","192","88","87","68","0","18","0","18","87","68","187","73","20","17","167","71",
"0500000US01039","Covington County, Alabama","37881","*****","37447","85","27926","515","9351","503","904","189","1297","250","6276","432","874","238","170","72","7","10","11","13","152","69","434","85","258","75","176","70",
"0500000US01041","Crenshaw County, Alabama","13938","*****","13621","36","11543","297","2046","294","194","86","269","99","1363","284","220","90","32","25","0","18","0","18","32","25","317","36","89","62","228","79",
"0500000US01043","Cullman County, Alabama","80668","*****","78378","373","62418","954","15777","917","1386","289","4337","576","8325","537","1729","403","183","74","0","27","11","18","172","72","2290","373","434","130","1856","346",
"0500000US01045","Dale County, Alabama","50013","*****","48472","343","28199","725","19173","720","2502","352","3329","356","10933","607","2409","323","1100","212","193","106","2","3","905","178","1541","343","921","221","620","253",
"0500000US01047","Dallas County, Alabama","42743","*****","42491","131","37404","677","5007","662","575","256","1045","244","2799","401","588","227","80","55","0","24","0","24","80","55","252","131","127","73","125","91",
"0500000US01049","DeKalb County, Alabama","71074","*****","65686","388","48763","982","16586","968","931","203","2790","374","11874","768","991","267","337","134","60","64","0","27","277","123","5388","388","793","331","4595","522",
"0500000US01051","Elmore County, Alabama","80321","*****","78808","307","57780","1006","20122","1004","2088","430","4062","514","11509","852","2463","353","906","204","56","39","54","51","796","188","1513","307","395","129","1118","322",
"0500000US01053","Escambia County, Alabama","38042","*****","37750","158","27156","733","10423","722","914","276","1241","384","7502","589","766","190","171","81","18","31","0","24","153","71","292","158","154","92","138","93",
"0500000US01055","Etowah County, Alabama","104126","*****","101650","338","82623","1194","18643","1200","1895","317","3725","445","11125","973","1898","318","384","124","0","27","30","48","354","113","2476","338","957","180","1519","364",
"0500000US01057","Fayette County, Alabama","17019","*****","16922","82","14420","293","2442","285","151","93","700","137","1417","236","174","83","60","46","0","18","0","18","60","46","97","82","16","30","81","74",
"0500000US01059","Franklin County, Alabama","31663","*****","28550","235","22353","537","6051","556","185","82","1802","336","3591","382","473","203","146","72","10","14","0","24","136","69","3113","235","381","221","2732","347",
"0500000US01061","Geneva County, Alabama","26816","*****","26275","154","19115","534","6966","536","645","163","734","210","5131","478","456","204","194","112","31","51","0","21","163","79","541","154","123","79","418","140",
"0500000US01063","Greene County, Alabama","8798","*****","8783","22","8138","171","645","173","104","80","186","80","341","114","14","15","0","16","0","16","0","16","0","16","15","22","15","22","0","16",
"0500000US01065","Hale County, Alabama","15393","*****","15286","60","13723","289","1514","277","120","56","430","147","869","191","95","47","49","38","0","18","0","18","49","38","107","60","77","57","30","35",
"0500000US01067","Henry County, Alabama","17270","*****","16844","123","12028","433","4776","432","448","167","519","150","3668","386","141","63","40","35","0","18","0","18","40","35","426","123","136","90","290","135",
"0500000US01069","Houston County, Alabama","103079","*****","100620","210","68124","783","31595","762","3444","319","4443","268","21569","699","2139","226","901","116","133","42","6","5","762","103","2459","210","1229","131","1230","189",
"0500000US01071","Jackson County, Alabama","53012","*****","51769","195","36730","795","14857","794","662","179","3100","469","10231","690","864","234","182","71","24","27","37","36","121","58","1243","195","531","135","712","182",
"0500000US01073","Jefferson County, Alabama","658834","*****","632890","1037","498756","2757","130145","2722","15011","1016","27090","1234","77809","2163","10235","784","3989","541","491","206","183","158","3315","469","25944","1037","8425","797","17519","972",
"0500000US01075","Lamar County, Alabama","14268","*****","14170","64","9054","369","5083","365","92","56","756","159","3973","385","262","113","33","38","0","18","0","18","33","38","98","64","51","37","47","33",
"0500000US01077","Lauderdale County, Alabama","92780","*****","90898","248","64274","1379","26128","1374","1904","420","5799","663","16282","1083","2143","374","496","152","68","64","9","14","419","145","1882","248","836","240","1046","264",
"0500000US01079","Lawrence County, Alabama","33835","*****","33555","135","28416","529","5032","542","225","90","1772","317","2433","336","602","197","107","73","48","52","0","24","59","55","280","135","164","114","116","83",
"0500000US01081","Lee County, Alabama","147790","*****","139457","741","77881","1663","59799","1571","5108","564","7526","674","42938","1507","4227","511","1777","335","309","177","56","69","1412","331","8333","741","1945","367","6388","761",
"0500000US01083","Limestone County, Alabama","87167","*****","83250","379","58082","1262","24527","1204","2129","398","5576","632","14241","981","2581","423","641","215","84","79","31","40","526","187","3917","379","1900","482","2017","381",
"0500000US01085","Lowndes County, Alabama","10918","*****","10881","26","9656","253","1142","242","208","125","260","89","553","145","121","76","83","52","0","18","0","18","83","52","37","26","20","23","17","21",
"0500000US01087","Macon County, Alabama","20505","*****","20244","81","14937","362","5193","385","824","182","963","177","2766","313","640","214","114","46","10","18","32","31","72","41","261","81","182","80","79","61",
"0500000US01089","Madison County, Alabama","343229","*****","324670","882","184512","2465","133136","2288","17022","1159","32224","1467","69334","1730","14556","1141","7022","523","871","268","269","90","5882","496","18559","882","8788","735","9771","855",
"0500000US01091","Marengo County, Alabama","20489","*****","20322","150","16509","373","3766","360","323","105","723","217","2519","304","201","101","47","79","0","21","0","21","47","79","167","150","17","26","150","149",
"0500000US01093","Marion County, Alabama","30527","*****","30023","247","22001","697","7835","640","184","100","2199","361","5061","567","391","148","187","138","16","27","0","24","171","139","504","247","426","233","78","69",
"0500000US01095","Marshall County, Alabama","94121","*****","86870","486","65024","800","21358","823","1766","350","4832","488","12209","803","2551","367","488","171","51","42","8","10","429","167","7251","486","1224","313","6027","444",
"0500000US01097","Mobile County, Alabama","414045","*****","400903","703","300272","2376","97562","2179","9666","852","14835","1011","64252","1919","8809","800","3069","509","607","328","99","62","2363","410","13142","703","5463","498","7679","694",
"0500000US01099","Monroe County, Alabama","22509","*****","22321","96","19003","531","3265","521","452","200","350","143","2365","428","98","79","53","54","0","21","0","21","53","54","188","96","58","50","130","104",
"0500000US01101","Montgomery County, Alabama","228850","*****","218926","667","163803","1870","52375","1852","7120","696","11094","941","29701","1365","4460","455","2748","378","263","110","32","28","2453","336","9924","667","3304","443","6620","717",
"0500000US01103","Morgan County, Alabama","119744","*****","114105","510","81901","1529","31243","1530","1963","294","9097","825","16345","1041","3838","576","961","227","113","79","0","27","848","218","5639","510","864","253","4775","566",
"0500000US01105","Perry County, Alabama","10203","*****","10128","52","8975","282","1118","271","174","104","285","116","572","172","87","57","35","46","0","18","0","18","35","46","75","52","39","34","36","54",
"0500000US01107","Pickens County, Alabama","19629","*****","19575","50","15896","391","3644","389","264","117","385","122","2843","343","152","68","35","42","0","18","3","6","32","41","54","50","18","20","36","36",
"0500000US01109","Pike County, Alabama","33216","*****","32005","222","24950","647","6908","662","794","272","1158","273","4385","518","571","156","147","100","4","5","27","36","116","95","1211","222","162","85","1049","224",
"0500000US01111","Randolph County, Alabama","22724","*****","22276","122","14010","664","8213","663","142","69","779","190","7059","676","233","97","53","41","20","23","11","19","22","25","448","122","168","114","280","99",
"0500000US01113","Russell County, Alabama","56980","*****","55720","319","18528","1050","35849","1114","1976","336","2820","402","29346","1141","1707","418","1343","340","309","205","18","20","1016","348","1260","319","785","255","475","168",
"0500000US01115","St. Clair County, Alabama","85242","*****","83589","285","66826","1179","16359","1183","1764","444","3509","576","9907","826","1179","280","404","211","64","80","15","22","325","202","1653","285","579","248","1074","264",
