"GEO_ID","NAME","B05002_001E","B05002_001M","B05002_002E","B05002_002M","B05002_003E","B05002_003M","B05002_004E","B05002_004M","B05002_005E","B05002_005M","B05002_006E","B05002_006M","B05002_007E","B05002_007M","B05002_008E","B05002_008M","B05002_009E","B05002_009M","B05002_010E","B05002_010M","B05002_011E","B05002_011M","B05002_012E","B05002_012M","B05002_013E","B05002_013M","B05002_014E","B05002_014M","B05002_015E","B05002_015M","B05002_016E","B05002_016M","B05002_017E","B05002_017M","B05002_018E","B05002_018M","B05002_019E","B05002_019M","B05002_020E","B05002_020M","B05002_021E","B05002_021M","B05002_022E","B05002_022M","B05002_023E","B05002_023M","B05002_024E","B05002_024M","B05002_025E","B05002_025M","B05002_026E","B05002_026M","B05002_027E","B05002_027M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Native","Margin of Error!!Total!!Native","Estimate!!Total!!Native!!Born in state of residence","Margin of Error!!Total!!Native!!Born in state of residence","Estimate!!Total!!Native!!Born in other state in the United States","Margin of Error!!Total!!Native!!Born in other state in the United States","Estimate!!Total!!Native!!Born in other state in the United States!!Northeast","Margin of Error!!Total!!Native!!Born in other state in the United States!!Northeast","Estimate!!Total!!Native!!Born in other state in the United States!!Midwest","Margin of Error!!Total!!Native!!Born in other state in the United States!!Midwest","Estimate!!Total!!Native!!Born in other state in the United States!!South","Margin of Error!!Total!!Native!!Born in other state in the United States!!South","Estimate!!Total!!Native!!Born in other state in the United States!!West","Margin of Error!!Total!!Native!!Born in other state in the United States!!West","Estimate!!Total!!Native!!Born outside the United States","Margin of Error!!Total!!Native!!Born outside the United States","Estimate!!Total!!Native!!Born outside the United States!!Puerto Rico","Margin of Error!!Total!!Native!!Born outside the United States!!Puerto Rico","Estimate!!Total!!Native!!Born outside the United States!!U.S. Island Areas","Margin of Error!!Total!!Native!!Born outside the United States!!U.S. Island Areas","Estimate!!Total!!Native!!Born outside the United States!!Born abroad of American parent(s)","Margin of Error!!Total!!Native!!Born outside the United States!!Born abroad of American parent(s)","Estimate!!Total!!Foreign born","Margin of Error!!Total!!Foreign born","Estimate!!Total!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Foreign born!!Naturalized U.S. citizen!!Europe","Margin of Error!!Total!!Foreign born!!Naturalized U.S. citizen!!Europe","Estimate!!Total!!Foreign born!!Naturalized U.S. citizen!!Asia","Margin of Error!!Total!!Foreign born!!Naturalized U.S. citizen!!Asia","Estimate!!Total!!Foreign born!!Naturalized U.S. citizen!!Africa","Margin of Error!!Total!!Foreign born!!Naturalized U.S. citizen!!Africa","Estimate!!Total!!Foreign born!!Naturalized U.S. citizen!!Oceania","Margin of Error!!Total!!Foreign born!!Naturalized U.S. citizen!!Oceania","Estimate!!Total!!Foreign born!!Naturalized U.S. citizen!!Latin America","Margin of Error!!Total!!Foreign born!!Naturalized U.S. citizen!!Latin America","Estimate!!Total!!Foreign born!!Naturalized U.S. citizen!!Northern America","Margin of Error!!Total!!Foreign born!!Naturalized U.S. citizen!!Northern America","Estimate!!Total!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Foreign born!!Not a U.S. citizen!!Europe","Margin of Error!!Total!!Foreign born!!Not a U.S. citizen!!Europe","Estimate!!Total!!Foreign born!!Not a U.S. citizen!!Asia","Margin of Error!!Total!!Foreign born!!Not a U.S. citizen!!Asia","Estimate!!Total!!Foreign born!!Not a U.S. citizen!!Africa","Margin of Error!!Total!!Foreign born!!Not a U.S. citizen!!Africa","Estimate!!Total!!Foreign born!!Not a U.S. citizen!!Oceania","Margin of Error!!Total!!Foreign born!!Not a U.S. citizen!!Oceania","Estimate!!Total!!Foreign born!!Not a U.S. citizen!!Latin America","Margin of Error!!Total!!Foreign born!!Not a U.S. citizen!!Latin America","Estimate!!Total!!Foreign born!!Not a U.S. citizen!!Northern America","Margin of Error!!Total!!Foreign born!!Not a U.S. citizen!!Northern America",
"0500000US01001","Autauga County, Alabama","55200","*****","54086","183","38337","1020","15048","984","1929","364","2994","421","8140","832","1985","408","701","202","62","77","48","62","591","165","1114","183","579","192","99","68","314","128","0","28","0","28","161","124","5","8","535","173","86","50","174","103","0","28","19","31","256","136","0","28",
"0500000US01003","Baldwin County, Alabama","208107","*****","200937","833","111863","2303","87012","2176","10557","1116","19809","1345","48033","1963","8613","1167","2062","393","270","172","124","132","1668","370","7170","833","3319","591","884","263","598","266","147","134","34","36","1546","445","110","59","3851","695","722","240","566","287","43","55","44","43","2380","668","96","61",
"0500000US01005","Barbour County, Alabama","25782","*****","25136","109","17585","482","7479","480","683","138","1288","241","5203","435","305","98","72","52","25","29","0","22","47","46","646","109","280","106","32","43","56","26","0","22","0","22","179","99","13","14","366","100","30","34","24","37","0","22","0","22","306","87","6","10",
"0500000US01007","Bibb County, Alabama","22527","*****","22202","131","18294","591","3789","596","375","244","1001","356","1880","425","533","253","119","88","0","22","24","37","95","74","325","131","129","78","4","6","51","58","0","22","0","22","74","50","0","22","196","85","4","7","0","22","0","22","0","22","192","85","0","22",
"0500000US01009","Blount County, Alabama","57645","*****","55132","266","45855","811","9022","761","814","186","1694","240","5208","669","1306","337","255","115","65","71","42","67","148","65","2513","266","876","194","120","63","117","49","12","15","0","28","615","163","12","15","1637","245","47","41","22","31","54","58","35","51","1479","242","0","28",
"0500000US01011","Bullock County, Alabama","10352","*****","10256","71","8711","334","1482","341","239","215","193","147","850","192","200","242","63","50","31","39","0","19","32","31","96","71","96","71","18","30","23","37","15","19","0","19","40","48","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19",
"0500000US01013","Butler County, Alabama","20025","*****","19750","51","17066","344","2617","348","375","155","587","186","1398","243","257","131","67","47","0","22","9","13","58","44","275","51","139","108","46","30","80","108","0","22","0","22","13","21","0","22","136","83","0","22","136","83","0","22","0","22","0","22","0","22",
"0500000US01015","Calhoun County, Alabama","115098","*****","112039","357","84348","1296","26301","1197","2743","449","5050","619","15543","1026","2965","436","1390","343","305","231","0","28","1085","272","3059","357","1497","298","299","126","585","227","74","96","10","16","529","153","0","28","1562","299","180","78","275","153","28","33","0","28","1060","253","19","28",
"0500000US01017","Chambers County, Alabama","33826","*****","33356","110","25025","764","8177","759","505","160","778","215","6197","704","697","217","154","95","4","6","7","12","143","94","470","110","74","48","6","11","68","47","0","25","0","25","0","25","0","25","396","122","24","36","256","83","27","43","0","25","89","86","0","25",
